iso_code,continent,location,date,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,population
AFG,Asia,Afghanistan,06/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,07/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,08/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,09/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,10/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,11/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,12/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,13/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,14/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,15/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,16/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,17/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,18/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,19/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,20/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,21/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,22/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,23/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,24/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,25/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,26/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,27/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,28/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,29/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,30/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,31/07/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,01/08/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,02/08/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,03/08/2020,78.7,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,04/08/2020,75,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,05/08/2020,71.3,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,06/08/2020,71.3,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,07/08/2020,71.3,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,08/08/2020,71.3,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,09/08/2020,71.3,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,10/08/2020,71.3,54.422,18.6,2.581,1.337,1803.987,41128772
AFG,Asia,Afghanistan,11/08/2020,71.3,54.422,18.6,2.581,1.337,1803.987,41128772
